maxDT,minDT,maxNT,minNT,DTR,SU,TR,CFD,WSDI,CSDI,T10p,T90p
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.482421875000025,24.195544433593774
30.465783691406273,15.699456787109398,20.779382324218773,14.949121093750023,5,1,0,0,3,3,16.4567077636719,28.084918212890646
26.379510498046898,16.620111083984398,19.668176269531273,13.840783691406273,5,0,0,0,3,3,15.049383544921898,24.60473632812502
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.482421875000025,24.195544433593774
28.518640136718773,15.019250488281273,18.797357177734398,13.483819580078148,5,0,0,0,3,3,14.886114501953148,26.269366455078146
28.402032470703148,15.979455566406273,20.570581054687523,13.781823730468773,6,0,0,0,3,5,14.99515075683596,25.934713745117207
26.931146240234398,16.368188476562523,19.799371337890648,13.378564453125023,6,0,0,0,4,5,15.265490722656272,25.665386962890647
28.282464599609398,17.066857910156273,21.146630859375023,14.183953857421898,6,0,0,0,4,5,16.226245117187524,26.92181396484377
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.482421875000025,24.195544433593774
26.931146240234398,16.368188476562523,19.799371337890648,13.378564453125023,6,0,0,0,4,5,15.265490722656272,25.665386962890647
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.482421875000025,24.195544433593774
30.002160644531273,15.852136230468773,20.204522705078148,14.413262939453148,5,1,0,0,4,5,15.981433105468772,27.271496582031272
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.482421875000025,24.195544433593774
30.002160644531273,15.852136230468773,20.204522705078148,14.413262939453148,5,1,0,0,4,5,15.933764648437522,27.727624511718773
30.002160644531273,15.852136230468773,20.204522705078148,14.413262939453148,5,1,0,0,4,5,15.933764648437522,27.727624511718773
25.045434570312523,14.509912109375023,18.761956787109398,12.553216552734398,5,0,0,0,3,5,14.601177978515647,23.862414550781274
30.465783691406273,15.699456787109398,20.779382324218773,14.949121093750023,5,1,0,0,3,3,16.4567077636719,28.084918212890646
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
27.393640136718773,16.056878662109398,20.233483886718773,13.778497314453148,5,0,0,0,4,5,15.692846679687523,26.030133056640647
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.482421875000025,24.195544433593774
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.482421875000025,24.195544433593774
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.529696655273462,24.18736267089846
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.482421875000025,24.195544433593774
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
26.379510498046898,16.620111083984398,19.668176269531273,13.838037109375023,5,0,0,0,3,2,14.958941650390647,24.596533203125023
30.002160644531273,15.852136230468773,20.204522705078148,14.705743408203148,5,1,0,0,4,3,16.145837402343773,27.729119873046898
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.482421875000025,24.195544433593774
28.086175537109398,14.403436279296898,19.271478271484398,12.435144042968773,5,0,0,0,4,6,14.947656250000023,26.626947021484398
30.465783691406273,15.699456787109398,20.779382324218773,14.949121093750023,5,1,0,0,3,3,16.4567077636719,28.084918212890646
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.104434204101587,24.15463562011721
25.423425292968773,14.403436279296898,18.660821533203148,12.435144042968773,5,0,0,0,3,5,14.529696655273462,24.18736267089846
30.465783691406273,15.699456787109398,20.779382324218773,14.949121093750023,5,1,0,0,3,3,16.4567077636719,28.084918212890646
