MLDS,MLWS,R10mm,R20mm,Rx1day,Rx5day,R95p,R99p,Rtotal,SDII
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,544.4299999475479,8.634218749182764
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
4,8,5,7,70.87999725341797,182.20999908447266,185.9699993133545,70.87999725341797,424.41999983787537,7.6068421027770166
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,544.4299999475479,8.634218749182764
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
5,16,7,4,27.6200008392334,86.82000160217285,126.55000114440918,50.880001068115234,436.5600003004074,5.676625004014932
4,15,10,7,70.87999725341797,182.20999908447266,185.9699993133545,70.87999725341797,495.8200000524521,8.416500001183401
4,15,10,7,70.87999725341797,182.20999908447266,185.9699993133545,70.87999725341797,495.8200000524521,8.416500001183401
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,544.4299999475479,8.634218749182764
4,15,10,7,70.87999725341797,182.20999908447266,185.9699993133545,70.87999725341797,495.8200000524521,8.416500001183401
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,544.4299999475479,8.634218749182764
6,16,18,6,101.30999755859375,218.71999740600586,250.7899990081787,140.89999771118164,682.9299988746643,9.542054779036608
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,544.4299999475479,8.634218749182764
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,668.6599988937378,10.142985058364584
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,668.6599988937378,10.142985058364584
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,544.4299999475479,8.634218749182764
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
4,15,10,7,70.87999725341797,182.20999908447266,185.9699993133545,70.87999725341797,495.8200000524521,8.416500001183401
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,544.4299999475479,8.634218749182764
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,544.4299999475479,8.634218749182764
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,546.9899998903275,8.540769229084253
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,544.4299999475479,8.634218749182764
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
4,8,5,7,70.87999725341797,182.20999908447266,185.9699993133545,70.87999725341797,434.7499997615814,7.5240677929151865
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,544.4299999475479,8.634218749182764
5,21,28,9,67.06999969482422,149.38000011444092,200.57000160217285,95.52000045776367,894.9700001478195,9.823804349395568
6,16,18,6,101.30999755859375,218.71999740600586,226.7599983215332,101.30999755859375,661.589998960495,10.653492047200126
5,20,14,6,67.06999969482422,149.38000011444092,167.30000114440918,67.06999969482422,571.6900001764297,8.40362319096491
