id,trial,package,variety_a,variety_b,variety_c,lon,lat,pdate,hdate,village,district,gender,age,overall_best,overall_worst,yield_best,yield_worst,ovl_variety_a,ovl_variety_b,ovl_variety_c,tmaturity,trial_id2,trial_name
21,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_028,IBC 302-29,MIB 397-72,SJC 730-79,-86.99491053,15.27966183,2017-09-20,2017-12-11,Tercales Jocon,Yoro,F,NA,B,C,B,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
22,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_029,703-SM 15216-11-4-VB ,IBC 308-24,EAP 9508-93,-87.44409422,15.22364888,2017-10-10,2017-12-31,El Tablon Subirana,Yoro,M,NA,C,A,C,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
23,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_030,SX 14825-7-1,Rosado,EAP 9510-77,-86.98117762,15.27568756,2017-09-20,2017-12-11,Majastral Jocon,NA,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
24,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_031,MIB 397-72,EAP 9510-77,703-SM 15216-11-4-VB ,-87.03289581,15.2662811,2017-09-20,2017-12-11,Tercales Jocon,NA,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
25,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_032,Rosado,IBC 308-24,IBC 302-29,-87.4458289,15.22487187,2017-10-10,2017-12-31,El Balsamo Subirana,Yoro,M,NA,A,B,A,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
26,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_035,EAP 9508-93,Rosado,MIB 397-72,-87.44260341,15.21208889,2017-10-10,2018-01-01,El Tablon Subirana,NA,M,NA,A,B,A,B,Better,Worse,Better,83,epm_comercial_frijol_postrera_2017,HND_10_2017
27,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_036,SX 14825-7-1,MIB 397-72,IBC 308-24,-87.0004037,15.269726,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,B,A,B,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
28,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_037,EAP 9510-77,IBC 302-29,IBC 308-24,-86.99044734,15.26773878,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
29,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_038,SJC 730-79,703-SM 15216-11-4-VB ,Rosado,-86.98864489,15.277136520000001,2017-09-20,2017-12-11,EL Pastoreo Jocon,Yoro,M,NA,A,C,A,C,Better,Better,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
30,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_039,EAP 9508-93,EAP 9510-77,SX 14825-7-1,-87.03147441,15.27535636,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
31,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_040,IBC 308-24,EAP 9508-93,SJC 730-79,-87.44911669,15.21881476,2017-10-10,2017-12-31,La Soleda Subirana,Yoro,M,NA,A,B,A,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
32,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_041,Rosado,SX 14825-7-1,IBC 302-29,-87.04984218,15.2717132,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,B,A,B,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
33,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_042,SX 14825-7-1,703-SM 15216-11-4-VB ,EAP 9510-77,-86.98850229,15.27776016,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,B,C,B,C,Better,Better,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
34,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_043,703-SM 15216-11-4-VB ,IBC 308-24,MIB 397-72,-87.12949305,15.25316523,2017-10-23,2018-01-15,Buenos Aires Locomapa,Yoro,M,NA,B,C,B,C,Better,Better,Better,84,epm_comercial_frijol_postrera_2017,HND_10_2017
35,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_045,SJC 730-79,IBC 302-29,EAP 9508-93,-86.98392421,15.27370039,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,C,A,C,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
36,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_047,Rosado,EAP 9508-93,703-SM 15216-11-4-VB ,-87.44561396,15.22088483,2017-10-10,2017-12-31,El Tablon Subirana,Yoro,F,NA,B,A,C,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
37,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_048,EAP 9510-77,Rosado,IBC 308-24,-87.44646579,15.22103361,2017-09-10,2017-12-31,El Tablon Subirana,Yoro,M,NA,B,C,B,C,Better,Better,Better,112,epm_comercial_frijol_postrera_2017,HND_10_2017
38,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_049,MIB 397-72,SJC 730-79,SX 14825-7-1,-86.91071063,15.27543916,2017-09-20,2017-12-11,Alta cruz Jocon,Yoro,F,NA,C,B,C,B,Worse,Worse,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
39,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_050,EAP 9508-93,EAP 9510-77,IBC 302-29,-87.44672328,15.2154018,2017-10-10,2018-01-05,La Soleda Subirana,Yoro,M,NA,C,A,C,A,Better,Better,Better,87,epm_comercial_frijol_postrera_2017,HND_10_2017
40,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_051,IBC 308-24,703-SM 15216-11-4-VB ,SX 14825-7-1,-87.44775325,15.21871465,2017-10-10,2018-01-01,El Gicarito Subirana,Yoro,M,NA,C,B,C,B,Better,Better,Better,83,epm_comercial_frijol_postrera_2017,HND_10_2017
41,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_052,IBC 308-24,IBC 302-29,SJC 730-79,-86.91113978,15.2703884,2017-09-20,2017-12-11,Alta cruz Jocon,Yoro,M,NA,A,C,A,C,Better,Worse,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
42,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_053,EAP 9510-77,SX 14825-7-1,EAP 9508-93,-86.98843032,15.27595665,2017-09-20,2017-12-11,EL Pastoreo Jocon,Yoro,M,NA,B,A,B,A,Worse,Worse,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
43,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_054,703-SM 15216-11-4-VB ,Rosado,MIB 397-72,-87.16416865,15.34324002,2017-10-23,2018-01-13,Buenos Aires Locomapa,Yoro,M,NA,A,C,NA,NA,Worse,Worse,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
44,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_055,SJC 730-79,703-SM 15216-11-4-VB ,EAP 9510-77,-87.42204293,15.19254324,2017-10-10,2018-01-01,La Soleda Subirana,Yoro,F,NA,B,C,B,C,Better,Better,Better,83,epm_comercial_frijol_postrera_2017,HND_10_2017
45,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_056,SX 14825-7-1,EAP 9508-93,MIB 397-72,-87.02855377,15.2701327,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,A,B,A,B,Better,Worse,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
46,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_057,MIB 397-72,IBC 308-24,IBC 302-29,-87.12738278,15.30768775,2017-10-23,2018-01-13,Buenos Aires Locomapa,Yoro,M,NA,B,C,NA,NA,Worse,Worse,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
47,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_060,EAP 9508-93,SX 14825-7-1,703-SM 15216-11-4-VB ,-87.44558611,15.22135834,2017-10-10,2017-12-31,El Tablon Subirana,Yoro,M,NA,C,B,C,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
48,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_062,EAP 9510-77,IBC 302-29,SX 14825-7-1,-87.44312844,15.22582506,2017-10-10,2018-01-01,El Tablon Subirana,Yoro,M,NA,C,A,C,A,Better,Better,Better,83,epm_comercial_frijol_postrera_2017,HND_10_2017
49,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_063,703-SM 15216-11-4-VB ,IBC 308-24,Rosado,-87.03279595,15.26394889,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,B,C,B,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
50,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_065,SX 14825-7-1,Rosado,MIB 397-72,-87.12078586,15.22701526,2017-10-20,2018-01-15,Buenos Aires Locomapa,Yoro,M,NA,A,B,NA,NA,Worse,Worse,Worse,87,epm_comercial_frijol_postrera_2017,HND_10_2017
51,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_066,SJC 730-79,703-SM 15216-11-4-VB ,EAP 9510-77,-87.02519302,15.27073072,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,B,A,B,A,Worse,Worse,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
52,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_068,MIB 397-72,IBC 308-24,SJC 730-79,-87.44549732,15.22357439,2017-10-10,2017-12-31,El Tablon Subirana,Yoro,M,NA,B,A,B,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
53,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_071,703-SM 15216-11-4-VB ,MIB 397-72,SX 14825-7-1,-87.03633144,15.26730751,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,A,B,A,B,Better,Worse,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
54,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_072,EAP 9510-77,EAP 9508-93,MIB 397-72,-87.41412292,15.18425843,2017-10-10,2017-12-31,El Gicarito Subirana,Yoro,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
55,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_073,EAP 9508-93,IBC 302-29,IBC 308-24,-87.41412292,15.18425843,2017-10-10,2017-12-31,El Periquito Victoria,Yoro,M,NA,A,B,A,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
56,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_074,SX 14825-7-1,IBC 308-24,Rosado,-86.97768542,15.28476137,2017-09-20,2017-12-11,EL Pastoreo Jocon,Yoro,M,NA,A,C,A,C,Worse,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
57,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_075,IBC 308-24,703-SM 15216-11-4-VB ,EAP 9510-77,-87.46740108,15.34428886,2017-10-10,2017-12-31,Nueva Lagunita Morazan,Yoro,M,NA,C,B,C,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
58,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_076,EAP 9510-77,SX 14825-7-1,SJC 730-79,-87.48197249,15.17744905,2017-10-23,2018-01-15,Musiquito Subirana,Yoro,F,NA,B,A,B,A,Better,Better,Better,84,epm_comercial_frijol_postrera_2017,HND_10_2017
59,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_077,SJC 730-79,EAP 9508-93,703-SM 15216-11-4-VB ,-87.24201148,15.26745015,2017-09-20,2017-12-31,Hacienda vieja Locomapa,Yoro,M,NA,B,C,B,C,Better,Better,Better,102,epm_comercial_frijol_postrera_2017,HND_10_2017
60,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_078,MIB 397-72,EAP 9510-77,IBC 302-29,-87.55975547,15.34486647,2017-10-10,2017-12-31,Planes Morazan,Yoro,M,NA,B,A,B,A,Worse,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
61,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_080,703-SM 15216-11-4-VB ,SJC 730-79,Rosado,-86.96978595,15.26312747,2017-09-20,2017-12-31,La Joya grande Jocon,NA,F,NA,C,B,C,B,Better,Better,Better,102,epm_comercial_frijol_postrera_2017,HND_10_2017
62,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_081,IBC 302-29,MIB 397-72,SX 14825-7-1,-86.91050445,15.2710337,2017-10-10,2017-12-31,Alta cruz Jocon,Yoro,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
63,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_082,EAP 9510-77,Rosado,EAP 9508-93,-86.91154175,15.27672122,2017-09-20,2017-12-11,Alta Cruz Jocon,Yoro,F,NA,B,C,B,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
64,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_083,IBC 308-24,IBC 302-29,703-SM 15216-11-4-VB ,-87.44682074,15.22145509,2017-10-10,2017-12-31,El Gicarito Subirana,Yoro,M,NA,B,C,B,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
65,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_084,SX 14825-7-1,EAP 9508-93,IBC 308-24,-86.90852977,15.2790168,2017-09-20,2017-12-11,Alta cruz Jocon,NA,M,NA,A,B,A,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
66,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_085,MIB 397-72,SX 14825-7-1,SJC 730-79,-87.23109783,15.30584343,2017-09-20,2017-12-31,Hacienda vieja Locomapa,NA,M,NA,A,C,A,C,Better,Better,Better,102,epm_comercial_frijol_postrera_2017,HND_10_2017
67,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_086,IBC 302-29,703-SM 15216-11-4-VB ,EAP 9510-77,-87.44883896,15.21880393,2017-10-10,2017-12-31,El Tablon Subirana,Yoro,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
68,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_087,SX 14825-7-1,SJC 730-79,Rosado,-86.91303454,15.27577807,2017-09-20,2017-12-31,Alta cruz Jocon,Yoro,M,NA,C,A,C,A,Better,Better,Better,102,epm_comercial_frijol_postrera_2017,HND_10_2017
69,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_088,EAP 9508-93,703-SM 15216-11-4-VB ,MIB 397-72,-87.39094122,15.19629049,2017-10-10,2017-12-31,El Balsamo Subirana,Yoro,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
70,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_089,SJC 730-79,EAP 9510-77,IBC 302-29,-87.23228874,15.27691552,2017-10-10,2017-12-31,Hacienda vieja Locomapa,NA,M,NA,B,A,B,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
71,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_090,Rosado,IBC 308-24,SJC 730-79,-86.94312994,15.27580687,2017-09-20,2017-12-11,La Joya grande Jocon,NA,M,NA,C,A,C,A,Better,Worse,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
72,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_092,EAP 9508-93,IBC 302-29,MIB 397-72,-87.57253922,15.32347586,2017-10-10,2017-12-31,Planes Morazan,Yoro,M,NA,A,B,A,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
73,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_094,IBC 308-24,SX 14825-7-1,EAP 9508-93,-87.22862167,15.29699841,2017-10-10,2017-12-31,Hacienda vieja Locomapa,NA,M,NA,A,B,A,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
74,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_096,SJC 730-79,IBC 308-24,703-SM 15216-11-4-VB ,-87.22560045,15.28923455,2017-09-20,2017-12-11,Hacienda vieja Locomapa,NA,M,NA,C,B,C,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
75,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_097,703-SM 15216-11-4-VB ,EAP 9510-77,IBC 302-29,-87.44722694,15.22016555,2017-10-10,2017-12-31,El Gicarito Subirana,El Gicarito Subirana,M,NA,C,B,C,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
76,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_098,IBC 302-29,EAP 9508-93,MIB 397-72,-86.91113978,15.28231131,2017-09-20,2017-12-11,Alta cruz Jocon,NA,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
77,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_099,SX 14825-7-1,SJC 730-79,IBC 308-24,-86.96445924,15.25903217,2017-09-20,2017-12-11,La Joya grande Jocon,Yoro,F,NA,B,C,B,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
78,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_100,703-SM 15216-11-4-VB ,EAP 9510-77,Rosado,-86.97459569,15.25772361,2017-09-20,2017-12-11,La Joya grande Jocon,Yoro,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
336,epm_comercial_frijol_postrera_2017_,paquete_epm_comercial_frijol_postrera_2017__001,Rosado,IBC 308-24,703-SM 15216-11-4-VB ,-87.21738367923581,15.098093306483957,2017-09-15,2017-12-06,Las Delicias de Aguan Ayapa,Yoro,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
337,epm_comercial_frijol_postrera_2017_,paquete_epm_comercial_frijol_postrera_2017__002,EAP 9508-93,SJC 730-79,SX 14825-7-1,-87.32999354251706,15.263764272393445,2017-09-15,2017-12-06,Coyoles Yoro,NA,M,NA,C,A,C,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
338,epm_comercial_frijol_postrera_2017_,paquete_epm_comercial_frijol_postrera_2017__004,703-SM 15216-11-4-VB ,SX 14825-7-1,IBC 308-24,-87.28604823001706,15.237265662321215,2017-09-15,2017-12-06,Coyoles Yoro,NA,M,NA,C,A,C,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
339,epm_comercial_frijol_postrera_2017_,paquete_epm_comercial_frijol_postrera_2017__005,MIB 397-72,Rosado,EAP 9508-93,-87.26956873782956,15.22136489338063,2017-09-15,2017-12-06,Coyoles Yoro,NA,M,NA,B,C,B,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
340,epm_comercial_frijol_postrera_2017_,paquete_epm_comercial_frijol_postrera_2017__006,IBC 302-29,EAP 9510-77,SJC 730-79,-87.54243994486455,15.32217247253753,2017-11-13,2018-02-05,Morazan,Yoro,M,NA,B,A,B,A,Better,Better,Better,84,epm_comercial_frijol_postrera_2017,HND_10_2017
