id,trial,package,variety_a,variety_b,variety_c,lon,lat,pdate,hdate,village,district,gender,age,overall_best,overall_worst,yield_best,yield_worst,ovl_variety_a,ovl_variety_b,ovl_variety_c,tmaturity,trial_id2,trial_name
1,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_001,IBC 302-29,SJC 730-79,SX 14825-7-1,-87.43299037,15.21043242,2017-10-10,2017-12-31,El Gicarito Subirana,Yoro,M,NA,C,B,C,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
2,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_002,MIB 397-72,703-SM 15216-11-4-VB ,EAP 9510-77,-86.92899257,15.26111456,2017-09-20,2017-12-11,Alta cruz Jocon,Yoro,F,NA,B,C,B,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
3,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_003,Rosado,EAP 9508-93,IBC 308-24,-87.118506729999993,15.26906359,2017-10-23,2018-01-13,Buenos Aires Locomapa,Yoro,M,NA,A,C,NA,NA,Worse,Worse,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
4,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_005,SJC 730-79,Rosado,MIB 397-72,-87.4494954,15.21153338,2017-10-10,2017-12-31,El Gicarito Subirana,Yoro,F,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
5,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_006,EAP 9508-93,EAP 9510-77,703-SM 15216-11-4-VB ,-86.93036586,15.24786551,2017-09-20,2017-12-11,EL Pastoreo Jocon,Yoro,M,NA,C,B,C,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
6,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_008,Rosado,IBC 302-29,EAP 9508-93,-87.597793480000007,15.3229761,2017-11-01,2018-02-26,Planes Morazan,Yoro,M,NA,B,C,B,C,Better,Better,Better,117,epm_comercial_frijol_postrera_2017,HND_10_2017
7,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_009,703-SM 15216-11-4-VB ,MIB 397-72,SJC 730-79,-87.29978114,15.26641395,2017-10-10,2017-12-31,Hacienda vieja Locomapa,Yoro,M,NA,A,C,A,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
8,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_010,IBC 302-29,EAP 9510-77,Rosado,-87.21120387,15.23262806,2017-10-10,2017-12-31,Hacienda vieja Locomapa,Yoro,M,NA,C,A,C,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
9,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_011,SX 14825-7-1,SJC 730-79,703-SM 15216-11-4-VB ,-86.98753454,15.27317468,2017-09-20,2017-12-11,Tercales Jocon,Yoro,M,NA,A,B,A,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
10,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_012,EAP 9508-93,IBC 308-24,MIB 397-72,-87.44581169,15.22005725,2017-10-10,2017-12-31,El Gicarito Subirana,Yoro,M,NA,B,C,B,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
11,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_015,MIB 397-72,703-SM 15216-11-4-VB ,IBC 302-29,-87.25446254,15.2717132,2017-10-10,2017-12-31,Hacienda vieja Locomapa,Yoro,M,NA,C,B,C,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
12,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_016,703-SM 15216-11-4-VB ,IBC 302-29,SJC 730-79,-87.44558611,15.22135834,2017-10-10,2017-12-31,El Tablon Subirana,Yoro,M,NA,C,B,C,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
13,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_017,EAP 9510-77,MIB 397-72,SX 14825-7-1,-87.04022914,15.2703884,2017-09-20,2017-12-31,Tercales Jocon,Yoro,M,NA,C,A,C,A,Better,Better,Better,102,epm_comercial_frijol_postrera_2017,HND_10_2017
14,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_018,Rosado,EAP 9508-93,IBC 308-24,-87.44377958,15.22757581,2017-10-10,2017-12-31,El Tablon Subirana,Yoro,F,NA,B,C,B,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
15,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_020,IBC 302-29,SX 14825-7-1,703-SM 15216-11-4-VB ,-87.02082483,15.27753328,2017-09-20,2017-12-18,Tercales Jocon,Yoro,F,NA,C,B,C,B,Better,Better,Better,89,epm_comercial_frijol_postrera_2017,HND_10_2017
16,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_021,SJC 730-79,EAP 9508-93,Rosado,-86.95330916,15.28320146,2017-09-20,2017-12-18,EL Pastoreo Jocon,yoro,M,NA,C,B,C,B,Better,Better,Better,89,epm_comercial_frijol_postrera_2017,HND_10_2017
17,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_022,EAP 9508-93,703-SM 15216-11-4-VB ,IBC 302-29,-87.45050145,15.2208015,2017-10-10,2017-12-31,El Gicarito Subirana,Yoro,M,NA,A,B,A,B,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
18,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_023,SJC 730-79,EAP 9510-77,Rosado,-86.9461587,15.2776747,2017-09-20,2017-12-11,Majastral Jocon,Yoro,M,NA,C,A,C,A,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
19,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_026,703-SM 15216-11-4-VB ,Rosado,SX 14825-7-1,-87.00315028,15.28496075,2017-09-20,2017-12-11,Majastral Jocon,Yoro,M,NA,B,C,B,C,Better,Better,Worse,82,epm_comercial_frijol_postrera_2017,HND_10_2017
20,epm_comercial_frijol_postrera__2017,paquete_epm_comercial_frijol_postrera__2017_027,EAP 9510-77,EAP 9508-93,SJC 730-79,-87.325873669999993,15.19436396,2017-10-10,2017-12-31,Musiquito Subirana,Yoro,M,NA,B,C,B,C,Better,Better,Better,82,epm_comercial_frijol_postrera_2017,HND_10_2017
