"id","time","t_start","t_stop","status","prec","prec_cuml","srf"
636,63,0,1,0,0,0,26316908
636,63,1,2,0,0.409999996423721,0.409999996423721,24168308
636,63,2,3,0,0.209999993443489,0.61999998986721,21589022
636,63,3,4,0,0,0.61999998986721,26289314
636,63,4,5,0,0.140000000596046,0.759999990463257,27049254
636,63,5,6,0,0.540000021457672,1.30000001192093,23392520
636,63,6,7,0,0.129999995231628,1.43000000715256,22803004
636,63,7,8,0,0.300000011920929,1.73000001907349,23673290
636,63,8,9,0,0.300000011920929,2.03000003099442,24690288
636,63,9,10,0,4.34999990463257,6.37999993562698,22272140
636,63,10,11,0,6.8600001335144,13.2400000691414,17715754
636,63,11,12,0,0.100000001490116,13.3400000706315,20285792
636,63,12,13,0,1.44000005722046,14.780000127852,19303354
636,63,13,14,0,2.25999999046326,17.0400001183152,21085318
636,63,14,15,0,1.12999999523163,18.1700001135468,20163862
636,63,15,16,0,7.42000007629395,25.5900001898408,23247370
636,63,16,17,0,13.3400001525879,38.9300003424287,22287330
636,63,17,18,0,16.9899997711182,55.9200001135468,21728772
636,63,18,19,0,22.4599990844727,78.3799991980195,20428114
636,63,19,20,0,1.77999997138977,80.1599991694093,21917188
636,63,20,21,0,0.0399999991059303,80.1999991685152,24306396
636,63,21,22,0,0.839999973773956,81.0399991422892,23921224
636,63,22,23,0,2.99000000953674,84.0299991518259,20972066
636,63,23,24,0,8.3100004196167,92.3399995714426,21342594
636,63,24,25,0,0.0399999991059303,92.3799995705485,25545422
636,63,25,26,0,0.119999997317791,92.4999995678663,26626742
636,63,26,27,0,3.47000002861023,95.9699995964766,20612600
636,63,27,28,0,1,96.9699995964766,22677730
636,63,28,29,0,1.00999999046326,97.9799995869398,23605518
636,63,29,30,0,10.4499998092651,108.429999396205,21393412
636,63,30,31,0,0.819999992847443,109.249999389052,19520636
636,63,31,32,0,2.71000003814697,111.959999427199,21710828
636,63,32,33,0,4.98999977111816,116.949999198318,20792740
636,63,33,34,0,1.25999999046326,118.209999188781,18112224
636,63,34,35,0,2.96000003814697,121.169999226928,16334312
636,63,35,36,0,7.17000007629395,128.339999303222,18790522
636,63,36,37,0,3.4300000667572,131.769999369979,20471658
636,63,37,38,0,3.16000008583069,134.92999945581,19676580
636,63,38,39,0,10.539999961853,145.469999417663,19670866
636,63,39,40,0,0.910000026226044,146.379999443889,21159090
636,63,40,41,0,8.61999988555908,154.999999329448,19654942
636,63,41,42,0,14.8900003433228,169.889999672771,19674404
636,63,42,43,0,22.7000007629395,192.59000043571,20012250
636,63,43,44,0,15.6800003051758,208.270000740886,19446896
636,63,44,45,0,2.41000008583069,210.680000826716,22567832
636,63,45,46,0,2.99000000953674,213.670000836253,22260812
636,63,46,47,0,5.34999990463257,219.020000740886,22962142
636,63,47,48,0,1.46000003814697,220.480000779033,22227452
636,63,48,49,0,2.26999998092651,222.750000759959,22061688
636,63,49,50,0,10.8800001144409,233.6300008744,16893818
636,63,50,51,0,12.0200004577637,245.650001332164,18395048
636,63,51,52,0,0.389999985694885,246.040001317859,25361864
636,63,52,53,0,10,256.040001317859,23231448
636,63,53,54,0,5.01000022888184,261.050001546741,22460884
636,63,54,55,0,20.7999992370605,281.850000783801,20065700
636,63,55,56,0,13.2700004577637,295.120001241565,18861500
636,63,56,57,0,0.0700000002980232,295.190001241863,22379242
636,63,57,58,0,0,295.190001241863,26197948
636,63,58,59,0,0.00999999977648258,295.200001241639,24778318
636,63,59,60,0,11.9099998474121,307.110001089051,19236368
636,63,60,61,0,2.58999991416931,309.700001003221,19444772
636,63,61,62,0,4.30000019073486,314.000001193956,17265734
636,63,62,63,1,0.349999994039536,314.350001187995,23100738
637,60,0,1,0,0,0,25163022
637,60,1,2,0,0.5,0.5,23286642
637,60,2,3,0,0.25,0.75,21267942
637,60,3,4,0,0,0.75,25825574
637,60,4,5,0,0.639999985694885,1.38999998569489,26804626
637,60,5,6,0,1.00999999046326,2.39999997615814,23985666
637,60,6,7,0,0.0700000002980232,2.46999997645617,23306114
637,60,7,8,0,0.28999999165535,2.75999996811152,23605212
637,60,8,9,0,0.180000007152557,2.93999997526407,25026028
637,60,9,10,0,0.670000016689301,3.60999999195337,22527100
637,60,10,11,0,4.71000003814697,8.32000003010035,18804850
637,60,11,12,0,0.159999996423721,8.48000002652407,19756148
637,60,12,13,0,0.209999993443489,8.69000001996756,19263142
637,60,13,14,0,0.409999996423721,9.10000001639128,21295750
637,60,14,15,0,0.219999998807907,9.32000001519918,21840952
637,60,15,16,0,23.2600002288818,32.580000244081,22607862
637,60,16,17,0,28.8899993896484,61.4699996337295,21902538
637,60,17,18,0,21.5200004577637,82.9900000914931,21045420
637,60,18,19,0,26.4599990844727,109.449999175966,19190538
637,60,19,20,0,1.42999994754791,110.879999123514,21666168
637,60,20,21,0,0.129999995231628,111.009999118745,24638568
637,60,21,22,0,2.16000008583069,113.169999204576,23251666
637,60,22,23,0,8.18000030517578,121.349999509752,21575726
637,60,23,24,0,6.36999988555908,127.719999395311,20145110
637,60,24,25,0,0.00999999977648258,127.729999395087,24718028
637,60,25,26,0,0.300000011920929,128.029999407008,25519850
637,60,26,27,0,1.8400000333786,129.869999440387,20087792
637,60,27,28,0,0.709999978542328,130.579999418929,22616300
637,60,28,29,0,1.00999999046326,131.589999409392,22975350
637,60,29,30,0,0.850000023841858,132.439999433234,22210172
637,60,30,31,0,2.3199999332428,134.759999366477,19619786
637,60,31,32,0,1.87999999523163,136.639999361709,21579186
637,60,32,33,0,5.36999988555908,142.009999247268,20774476
