"id","time","t_start","t_stop","status","prec","prec_cuml","srf"
6,31,0,1,0,27.5200004577637,27.5200004577637,14555402
6,31,1,2,0,9.36999988555908,36.8900003433228,16063184
6,31,2,3,0,8.90999984741211,45.8000001907349,15667540
6,31,3,4,0,28.4500007629395,74.2500009536743,12749701
6,31,4,5,0,12.4700002670288,86.7200012207031,9084471
6,31,5,6,0,13.6099996566772,100.33000087738,15301534
6,31,6,7,0,0.270000010728836,100.600000888109,20186012
6,31,7,8,0,13.9099998474121,114.510000735521,19583000
6,31,8,9,0,15.2799997329712,129.790000468493,16109120
6,31,9,10,0,13.1099996566772,142.90000012517,16999774
6,31,10,11,0,12.8500003814697,155.750000506639,12351977
6,31,11,12,0,11.2399997711182,166.990000277758,15027201
6,31,12,13,0,3.67000007629395,170.660000354052,15933430
6,31,13,14,0,2.63000011444092,173.290000468493,17175816
6,31,14,15,0,2.75999999046326,176.050000458956,14424708
6,31,15,16,0,6.55999994277954,182.610000401735,14896380
6,31,16,17,0,12.8699998855591,195.480000287294,12182381
6,31,17,18,0,5.65999984741211,201.140000134706,14130994
6,31,18,19,0,4.07000017166138,205.210000306368,13641887
6,31,19,20,0,14.2799997329712,219.490000039339,13853301
6,31,20,21,0,10.6899995803833,230.179999619722,8948574
6,31,21,22,0,13.8999996185303,244.079999238253,9869161
6,31,22,23,0,17.75,261.829999238253,6448808
6,31,23,24,0,67.0699996948242,328.899998933077,2502100.5
6,31,24,25,0,26.6499996185303,355.549998551607,7175419
6,31,25,26,0,22.7000007629395,378.249999314547,7202153.5
6,31,26,27,0,15.210000038147,393.459999352694,7801254
6,31,27,28,0,6.76999998092651,400.22999933362,10590003
6,31,28,29,0,0.629999995231628,400.859999328852,15793199
6,31,29,30,0,4.09999990463257,404.959999233484,9672598
6,31,30,31,1,0.409999996423721,405.369999229908,7460327.5
340,43,0,1,0,27.5200004577637,27.5200004577637,14976893
340,43,1,2,0,9.36999988555908,36.8900003433228,16502530
340,43,2,3,0,8.90999984741211,45.8000001907349,16103856
340,43,3,4,0,28.4500007629395,74.2500009536743,13156811
340,43,4,5,0,12.4700002670288,86.7200012207031,9452713
340,43,5,6,0,13.6099996566772,100.33000087738,15738979
340,43,6,7,0,0.270000010728836,100.600000888109,20677310
340,43,7,8,0,13.9099998474121,114.510000735521,20069414
340,43,8,9,0,15.2799997329712,129.790000468493,16559342
340,43,9,10,0,13.1099996566772,142.90000012517,17460824
340,43,10,11,0,12.8500003814697,155.750000506639,12764568
340,43,11,12,0,11.2399997711182,166.990000277758,15469844
340,43,12,13,0,3.67000007629395,170.660000354052,16386452
340,43,13,14,0,2.63000011444092,173.290000468493,17643456
340,43,14,15,0,2.75999999046326,176.050000458956,14864938
340,43,15,16,0,6.55999994277954,182.610000401735,15342307
340,43,16,17,0,12.8699998855591,195.480000287294,12600304
340,43,17,18,0,5.65999984741211,201.140000134706,14570525
340,43,18,19,0,4.07000017166138,205.210000306368,14077382
340,43,19,20,0,14.2799997329712,219.490000039339,14291690
340,43,20,21,0,10.6899995803833,230.179999619722,9335357
340,43,21,22,0,13.8999996185303,244.079999238253,10266478
340,43,22,23,0,17.75,261.829999238253,6810510.5
340,43,23,24,0,67.0699996948242,328.899998933077,2821902
340,43,24,25,0,26.6499996185303,355.549998551607,7546182
340,43,25,26,0,22.7000007629395,378.249999314547,7574438
340,43,26,27,0,15.210000038147,393.459999352694,8179614
340,43,27,28,0,6.76999998092651,400.22999933362,10999638
340,43,28,29,0,0.629999995231628,400.859999328852,16259505
340,43,29,30,0,4.09999990463257,404.959999233484,10073584
340,43,30,31,0,0.409999996423721,405.369999229908,7837718.5
340,43,31,32,0,1.33000004291534,406.699999272823,16244176
340,43,32,33,0,4.40000009536743,411.099999368191,13940106
340,43,33,34,0,2.48000001907349,413.579999387264,14441536
340,43,34,35,0,3.71000003814697,417.289999425411,13843212
340,43,35,36,0,3.54999995231628,420.839999377728,13007342
340,43,36,37,0,6.63000011444092,427.469999492168,14297013
340,43,37,38,0,2.90000009536743,430.369999587536,15023649
340,43,38,39,0,1.11000001430511,431.479999601841,13328001
340,43,39,40,0,10.8199996948242,442.299999296665,7337288
340,43,40,41,0,10.4200000762939,452.719999372959,6235350
340,43,41,42,0,17.6200008392334,470.340000212193,8143576.5
340,43,42,43,1,20.3400001525879,490.68000036478,5512869
341,36,0,1,0,19.1800003051758,19.1800003051758,17181260
341,36,1,2,0,10.7700004577637,29.9500007629395,17409080
341,36,2,3,0,6.55000019073486,36.5000009536743,17948748
341,36,3,4,0,19.4099998474121,55.9100008010864,15462197
341,36,4,5,0,13.4099998474121,69.3200006484985,10039132
341,36,5,6,0,17.4400005340576,86.7600011825562,15686297
341,36,6,7,0,0.119999997317791,86.8800011798739,20889694
341,36,7,8,0,8.75,95.6300011798739,20513064
341,36,8,9,0,16.8299999237061,112.46000110358,17314720
341,36,9,10,0,10.1000003814697,122.56000148505,18100332
341,36,10,11,0,10.6400003433228,133.200001828372,14204921
341,36,11,12,0,8.21000003814697,141.410001866519,16950084
341,36,12,13,0,0.839999973773956,142.250001840293,17179698
341,36,13,14,0,1.24000000953674,143.49000184983,19219758
341,36,14,15,0,3.20000004768372,146.690001897514,16344376
341,36,15,16,0,4.3899998664856,151.080001763999,16405054
341,36,16,17,0,4.84999990463257,155.930001668632,14136943
341,36,17,18,0,7.19000005722046,163.120001725852,17457464
341,36,18,19,0,4.73000001907349,167.850001744926,15920325
341,36,19,20,0,10.5,178.350001744926,15774586
341,36,20,21,0,14.75,193.100001744926,10061335
341,36,21,22,0,11.7399997711182,204.840001516044,11057481
341,36,22,23,0,21.2299995422363,226.07000105828,9601020
341,36,23,24,0,70.879997253418,296.949998311698,4878906.5
341,36,24,25,0,43.3600006103516,340.30999892205,10041601
341,36,25,26,0,23.0400009155273,363.349999837577,8076286.5
341,36,26,27,0,23.7000007629395,387.050000600517,10714376
341,36,27,28,0,3.51999998092651,390.570000581443,11148278
341,36,28,29,0,0.709999978542328,391.280000559986,16941954
341,36,29,30,0,4.26000022888184,395.540000788867,12109016
341,36,30,31,0,0.740000009536743,396.280000798404,9219163
341,36,31,32,0,0.389999985694885,396.670000784099,16677250
341,36,32,33,0,2.48000001907349,399.150000803173,15997700
341,36,33,34,0,1.33000004291534,400.480000846088,17381446
341,36,34,35,0,1.87999999523163,402.36000084132,14993768
341,36,35,36,1,2.50999999046326,404.870000831783,13560074
342,36,0,1,0,19.1800003051758,19.1800003051758,17181260
342,36,1,2,0,10.7700004577637,29.9500007629395,17409080
342,36,2,3,0,6.55000019073486,36.5000009536743,17948748
342,36,3,4,0,19.4099998474121,55.9100008010864,15462197
342,36,4,5,0,13.4099998474121,69.3200006484985,10039132
342,36,5,6,0,17.4400005340576,86.7600011825562,15686297
342,36,6,7,0,0.119999997317791,86.8800011798739,20889694
342,36,7,8,0,8.75,95.6300011798739,20513064
342,36,8,9,0,16.8299999237061,112.46000110358,17314720
342,36,9,10,0,10.1000003814697,122.56000148505,18100332
342,36,10,11,0,10.6400003433228,133.200001828372,14204921
342,36,11,12,0,8.21000003814697,141.410001866519,16950084
342,36,12,13,0,0.839999973773956,142.250001840293,17179698
342,36,13,14,0,1.24000000953674,143.49000184983,19219758
342,36,14,15,0,3.20000004768372,146.690001897514,16344376
342,36,15,16,0,4.3899998664856,151.080001763999,16405054
342,36,16,17,0,4.84999990463257,155.930001668632,14136943
342,36,17,18,0,7.19000005722046,163.120001725852,17457464
342,36,18,19,0,4.73000001907349,167.850001744926,15920325
342,36,19,20,0,10.5,178.350001744926,15774586
342,36,20,21,0,14.75,193.100001744926,10061335
342,36,21,22,0,11.7399997711182,204.840001516044,11057481
342,36,22,23,0,21.2299995422363,226.07000105828,9601020
342,36,23,24,0,70.879997253418,296.949998311698,4878906.5
342,36,24,25,0,43.3600006103516,340.30999892205,10041601
342,36,25,26,0,23.0400009155273,363.349999837577,8076286.5
342,36,26,27,0,23.7000007629395,387.050000600517,10714376
342,36,27,28,0,3.51999998092651,390.570000581443,11148278
342,36,28,29,0,0.709999978542328,391.280000559986,16941954
342,36,29,30,0,4.26000022888184,395.540000788867,12109016
342,36,30,31,0,0.740000009536743,396.280000798404,9219163
342,36,31,32,0,0.389999985694885,396.670000784099,16677250
342,36,32,33,0,2.48000001907349,399.150000803173,15997700
342,36,33,34,0,1.33000004291534,400.480000846088,17381446
342,36,34,35,0,1.87999999523163,402.36000084132,14993768
342,36,35,36,1,2.50999999046326,404.870000831783,13560074
345,36,0,1,0,19.1800003051758,19.1800003051758,17181260
345,36,1,2,0,10.7700004577637,29.9500007629395,17409080
345,36,2,3,0,6.55000019073486,36.5000009536743,17948748
345,36,3,4,0,19.4099998474121,55.9100008010864,15462197
345,36,4,5,0,13.4099998474121,69.3200006484985,10039132
345,36,5,6,0,17.4400005340576,86.7600011825562,15686297
345,36,6,7,0,0.119999997317791,86.8800011798739,20889694
345,36,7,8,0,8.75,95.6300011798739,20513064
345,36,8,9,0,16.8299999237061,112.46000110358,17314720
345,36,9,10,0,10.1000003814697,122.56000148505,18100332
345,36,10,11,0,10.6400003433228,133.200001828372,14204921
345,36,11,12,0,8.21000003814697,141.410001866519,16950084
345,36,12,13,0,0.839999973773956,142.250001840293,17179698
345,36,13,14,0,1.24000000953674,143.49000184983,19219758
345,36,14,15,0,3.20000004768372,146.690001897514,16344376
345,36,15,16,0,4.3899998664856,151.080001763999,16405054
345,36,16,17,0,4.84999990463257,155.930001668632,14136943
345,36,17,18,0,7.19000005722046,163.120001725852,17457464
345,36,18,19,0,4.73000001907349,167.850001744926,15920325
345,36,19,20,0,10.5,178.350001744926,15774586
345,36,20,21,0,14.75,193.100001744926,10061335
345,36,21,22,0,11.7399997711182,204.840001516044,11057481
345,36,22,23,0,21.2299995422363,226.07000105828,9601020
345,36,23,24,0,70.879997253418,296.949998311698,4878906.5
345,36,24,25,0,43.3600006103516,340.30999892205,10041601
345,36,25,26,0,23.0400009155273,363.349999837577,8076286.5
345,36,26,27,0,23.7000007629395,387.050000600517,10714376
345,36,27,28,0,3.51999998092651,390.570000581443,11148278
345,36,28,29,0,0.709999978542328,391.280000559986,16941954
345,36,29,30,0,4.26000022888184,395.540000788867,12109016
345,36,30,31,0,0.740000009536743,396.280000798404,9219163
345,36,31,32,0,0.389999985694885,396.670000784099,16677250
345,36,32,33,0,2.48000001907349,399.150000803173,15997700
345,36,33,34,0,1.33000004291534,400.480000846088,17381446
345,36,34,35,0,1.87999999523163,402.36000084132,14993768
345,36,35,36,1,2.50999999046326,404.870000831783,13560074
348,36,0,1,0,19.1800003051758,19.1800003051758,17181260
348,36,1,2,0,10.7700004577637,29.9500007629395,17409080
348,36,2,3,0,6.55000019073486,36.5000009536743,17948748
